season,player_name,team,position,age,games_played,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goal_attempts,field_goal_pct,three_point_makes,three_point_attempts,three_point_pct,free_throws_made,free_throw_attempts,free_throw_pct,points_pg,rebounds_pg,assists_pg,ts_pct,effective_fg_pct,usage_rate,ast_pct,reb_pct,tov_pct,net_rating
2023-24,DeMar DeRozan,CHI,,34.0,79,2988.5683,1897,340,421,90,45,135,650,1355,0.48,75,225,0.333,522,612,0.853,24.0127,4.3038,5.3291,0.584,0.5074,0.252,0.2183,0.0636,0.0767,-1.0
2023-24,Domantas Sabonis,SAC,,28.0,82,2928.0217,1593,1120,673,74,48,272,634,1068,0.594,33,87,0.379,292,415,0.704,19.4268,13.6585,8.2073,0.637,0.6091,0.22,0.3394,0.2164,0.1786,0.8
2023-24,Coby White,CHI,,24.0,79,2881.3567,1509,358,405,53,18,166,541,1209,0.447,209,556,0.376,218,260,0.838,19.1013,4.5316,5.1266,0.57,0.5339,0.224,0.2082,0.0694,0.1115,-0.7
2023-24,Mikal Bridges,BKN,,27.0,82,2854.24,1606,372,299,81,30,164,564,1294,0.436,220,592,0.372,258,317,0.814,19.5854,4.5366,3.6463,0.56,0.5209,0.238,0.1614,0.0715,0.1027,-3.3
2023-24,Paolo Banchero,ORL,,21.0,80,2798.7017,1804,554,431,71,47,247,640,1407,0.455,119,351,0.339,405,559,0.725,22.55,6.925,5.3875,0.546,0.4972,0.292,0.2523,0.1163,0.13,0.0
2023-24,Kevin Durant,PHX,,35.0,75,2790.6367,2032,495,378,69,91,244,751,1436,0.523,168,407,0.413,362,423,0.856,27.0933,6.6,5.04,0.626,0.5815,0.283,0.2255,0.1049,0.1308,4.8
2023-24,Dejounte Murray,ATL,,27.0,78,2783.3433,1753,416,502,111,24,201,672,1463,0.459,201,554,0.363,208,262,0.794,22.4744,5.3333,6.4359,0.555,0.528,0.259,0.277,0.0807,0.113,-2.7
2023-24,Anthony Edwards,MIN,,22.0,79,2770.3833,2049,430,405,101,42,241,718,1558,0.461,190,532,0.357,423,506,0.836,25.9367,5.443,5.1266,0.575,0.5218,0.314,0.2416,0.0844,0.1192,7.3
2023-24,Nikola Jokić,DEN,,29.0,79,2736.5333,2085,976,708,108,68,237,822,1411,0.583,83,231,0.359,358,438,0.817,26.3924,12.3544,8.962,0.65,0.612,0.288,0.4203,0.1977,0.1288,11.8
2023-24,Jalen Brunson,NYK,,27.0,77,2726.3033,2212,278,519,70,13,186,790,1648,0.479,211,526,0.401,421,497,0.847,28.7273,3.6104,6.7403,0.592,0.5434,0.311,0.3294,0.0603,0.0906,8.6
2023-24,Josh Hart,NYK,,29.0,81,2706.7717,761,675,331,75,23,118,295,679,0.434,80,258,0.31,91,115,0.791,9.3951,8.3333,4.0864,0.522,0.4934,0.133,0.1612,0.1474,0.1392,6.6
2023-24,Anthony Davis,LAL,,31.0,76,2700.2433,1876,961,266,91,178,159,713,1283,0.556,29,107,0.271,421,516,0.816,24.6842,12.6447,3.5,0.621,0.567,0.261,0.1587,0.2164,0.0953,2.6
2023-24,Fred VanVleet,HOU,,30.0,73,2684.4267,1270,278,589,101,59,126,423,1018,0.416,227,586,0.387,197,229,0.86,17.3973,3.8082,8.0685,0.568,0.527,0.194,0.3113,0.0555,0.1012,3.0
2023-24,De'Aaron Fox,SAC,,26.0,74,2658.7633,1966,340,418,150,31,194,720,1549,0.465,214,580,0.369,312,423,0.738,26.5676,4.5946,5.6486,0.567,0.5339,0.3,0.2524,0.0723,0.1006,4.3
2023-24,Pascal Siakam,IND,,30.0,80,2657.8883,1737,565,342,63,25,141,681,1271,0.536,85,246,0.346,290,396,0.732,21.7125,7.0625,4.275,0.601,0.5692,0.25,0.1725,0.1176,0.0889,2.2
2023-24,Jayson Tatum,BOS,,26.0,74,2645.2133,1987,601,364,75,43,188,672,1426,0.471,229,609,0.376,414,497,0.833,26.8514,8.1216,4.9189,0.604,0.5515,0.296,0.2149,0.1279,0.1026,11.2
2023-24,Austin Reaves,LAL,,26.0,82,2628.95,1300,352,450,66,25,174,457,940,0.486,154,420,0.367,232,272,0.853,15.8537,4.2927,5.4878,0.613,0.5681,0.198,0.2407,0.0814,0.141,-1.0
2023-24,Tyrese Maxey,PHI,,23.0,70,2625.8067,1816,258,433,69,33,116,638,1419,0.45,212,569,0.373,328,378,0.868,25.9429,3.6857,6.1857,0.573,0.5243,0.273,0.2681,0.0575,0.0682,5.2
2023-24,Luka Dončić,DAL,,25.0,70,2624.04,2370,647,686,99,38,282,804,1652,0.487,284,744,0.382,478,608,0.786,33.8571,9.2429,9.8,0.617,0.5726,0.355,0.4227,0.1384,0.1281,5.8
2023-24,Nikola Vučević,CHI,,33.0,76,2609.5017,1370,801,254,50,60,120,586,1211,0.484,92,313,0.294,106,129,0.822,18.0263,10.5395,3.3421,0.54,0.5219,0.233,0.1525,0.1715,0.0865,-3.1
2023-24,Jalen Green,HOU,,22.0,82,2601.3817,1610,423,291,66,28,191,563,1332,0.423,201,605,0.332,283,352,0.804,19.6341,5.1585,3.5488,0.541,0.4981,0.27,0.1731,0.0872,0.1138,0.0
2023-24,Rudy Gobert,MIN,,32.0,76,2593.1133,1061,982,102,52,162,118,406,614,0.661,0,3,0.0,249,390,0.638,13.9605,12.9211,1.3421,0.675,0.6612,0.152,0.0556,0.206,0.1306,8.0
2023-24,Keegan Murray,SAC,,23.0,77,2588.5667,1172,420,129,79,59,64,443,975,0.454,183,511,0.358,103,124,0.831,15.2208,5.4545,1.6753,0.569,0.5482,0.178,0.069,0.0918,0.0585,2.7
2023-24,Miles Bridges,CHA,,26.0,69,2581.1167,1449,505,231,65,33,138,559,1210,0.462,157,450,0.349,174,211,0.825,21.0,7.3188,3.3478,0.556,0.5269,0.242,0.1603,0.1043,0.0958,-12.1
2023-24,Damian Lillard,MIL,,33.0,73,2578.4283,1775,320,508,72,18,193,541,1277,0.424,220,622,0.354,473,514,0.92,24.3151,4.3836,6.9589,0.59,0.5098,0.274,0.2935,0.0706,0.1138,6.9
2023-24,Giannis Antetokounmpo,MIL,,29.0,73,2567.2433,2222,841,476,87,79,250,837,1369,0.611,34,124,0.274,514,782,0.657,30.4384,11.5205,6.5205,0.649,0.6238,0.32,0.334,0.1863,0.1274,6.6
2023-24,Michael Porter Jr.,DEN,,26.0,81,2564.605,1356,565,122,42,53,92,522,1079,0.484,220,554,0.397,92,110,0.836,16.7407,6.9753,1.5062,0.601,0.5857,0.202,0.0668,0.1221,0.0754,8.1
2023-24,Shai Gilgeous-Alexander,OKC,,25.0,75,2552.6867,2254,415,465,150,67,162,796,1487,0.535,95,269,0.353,567,649,0.874,30.0533,5.5333,6.2,0.636,0.5672,0.317,0.3084,0.0972,0.0837,11.3
2023-24,Grayson Allen,PHX,,28.0,75,2513.3,1014,295,227,69,45,95,340,682,0.499,205,445,0.461,129,147,0.878,13.52,3.9333,3.0267,0.679,0.6488,0.143,0.123,0.0694,0.1129,5.1
2023-24,LeBron James,LAL,,39.0,71,2503.6833,1822,518,589,89,38,245,685,1269,0.54,149,363,0.41,303,404,0.75,25.662,7.2958,8.2958,0.63,0.5985,0.285,0.3848,0.1258,0.1448,3.8
2023-24,Paul George,LAC,,34.0,74,2501.7667,1671,388,262,113,37,153,582,1236,0.471,243,588,0.413,264,291,0.907,22.5811,5.2432,3.5405,0.613,0.5692,0.264,0.161,0.0872,0.1009,9.1
2023-24,Dennis Schröder,BKN,,30.0,80,2485.945,1122,242,488,63,17,153,403,927,0.435,138,368,0.375,178,213,0.836,14.025,3.025,6.1,0.55,0.5092,0.202,0.2868,0.0534,0.1304,-2.8
2023-24,D'Angelo Russell,LAL,,28.0,76,2484.1283,1369,236,482,69,36,156,492,1080,0.456,226,545,0.415,159,192,0.828,18.0132,3.1053,6.3421,0.588,0.5602,0.222,0.2825,0.0578,0.1181,2.6
2023-24,James Harden,LAC,,34.0,72,2469.6683,1192,369,614,77,57,185,352,822,0.428,186,488,0.381,302,344,0.878,16.5556,5.125,8.5278,0.612,0.5414,0.202,0.3357,0.084,0.1597,5.6
2023-24,Devin Booker,PHX,,27.0,68,2446.6567,1841,308,472,61,28,178,642,1305,0.492,152,418,0.364,405,457,0.886,27.0735,4.5294,6.9412,0.611,0.5502,0.289,0.3176,0.0745,0.1057,5.8
2023-24,Jarrett Allen,CLE,,26.0,77,2442.0617,1271,811,210,53,81,121,519,819,0.634,0,6,0.0,233,314,0.742,16.5065,10.5325,2.7273,0.664,0.6337,0.191,0.1329,0.1926,0.1122,4.8
2023-24,Jabari Smith Jr.,HOU,,21.0,76,2423.845,1044,616,121,52,61,89,378,833,0.454,138,380,0.363,150,185,0.811,13.7368,8.1053,1.5921,0.571,0.5366,0.174,0.0707,0.1362,0.0887,-1.9
2023-24,Stephen Curry,GSW,,36.0,74,2421.5383,1956,330,379,54,28,210,650,1445,0.45,357,876,0.408,299,324,0.923,26.4324,4.4595,5.1216,0.616,0.5734,0.302,0.2466,0.0735,0.1168,2.7
2023-24,Bam Adebayo,MIA,,26.0,71,2416.4733,1367,737,278,81,66,162,530,1017,0.521,15,42,0.357,292,387,0.755,19.2535,10.3803,3.9155,0.576,0.5285,0.247,0.1819,0.1788,0.1201,0.8
2023-24,Chet Holmgren,OKC,,22.0,82,2412.7967,1357,648,200,53,190,131,505,953,0.53,129,349,0.37,218,275,0.793,16.5488,7.9024,2.439,0.632,0.5976,0.21,0.1196,0.1606,0.1087,9.0
2023-24,Brook Lopez,MIL,,36.0,79,2411.1517,990,409,127,43,189,79,366,755,0.485,148,404,0.366,110,134,0.821,12.5316,5.1772,1.6076,0.608,0.5828,0.156,0.0722,0.0965,0.0885,5.2
2023-24,Kentavious Caldwell-Pope,DEN,,31.0,76,2401.7567,766,183,183,98,42,75,270,587,0.46,125,308,0.406,101,113,0.894,10.0789,2.4079,2.4079,0.602,0.5664,0.126,0.0948,0.0422,0.1054,11.3
