season,team,team_name,wins,losses,win_pct,games,points_pg,opponent_points_pg,off_rating_est,def_rating_est,net_rating,sos,adjusted_net_rating,pace
2024-25,ATL,Atlanta Hawks,40,42,0.4878,82,118.1829,119.3171,111.8184,112.7962,-0.9777,-0.1949,-1.1726,105.7837
2024-25,BKN,Brooklyn Nets,26,56,0.3171,82,105.1098,112.2195,105.753,112.8042,-7.0512,0.266,-6.7852,99.4883
2024-25,BOS,Boston Celtics,61,21,0.7439,82,116.2683,107.1585,117.5429,108.2825,9.2604,-0.7774,8.4831,99.0856
2024-25,CHA,Charlotte Hornets,19,63,0.2317,82,105.0976,114.2073,104.4043,113.451,-9.0468,0.1065,-8.9403,100.702
2024-25,CHI,Chicago Bulls,39,43,0.4756,82,117.8049,119.3659,111.6012,113.0647,-1.4635,-0.178,-1.6415,105.699
2024-25,CLE,Cleveland Cavaliers,64,18,0.7805,82,121.939,112.4024,118.754,109.4509,9.3031,-0.6524,8.6507,102.7805
2024-25,DAL,Dallas Mavericks,39,43,0.4756,82,114.1951,115.3902,112.0448,113.1769,-1.1321,0.3658,-0.7663,101.9615
2024-25,DEN,Denver Nuggets,50,32,0.6098,82,120.7561,116.8659,117.0429,113.3551,3.6879,-0.013,3.6748,103.199
2024-25,DET,Detroit Pistons,44,38,0.5366,82,115.5,113.5976,112.0276,110.1574,1.8703,-0.0626,1.8076,103.1195
2024-25,GSW,Golden State Warriors,48,34,0.5854,82,113.7927,110.4878,112.1016,108.9199,3.1817,0.1583,3.34,101.5288
2024-25,HOU,Houston Rockets,52,30,0.6341,82,114.2927,109.7805,111.8648,107.6237,4.2411,0.3799,4.621,102.109
2024-25,IND,Indiana Pacers,50,32,0.6098,82,117.3659,115.1341,113.9851,111.7175,2.2677,-0.493,1.7746,103.128
2024-25,LAC,LA Clippers,50,32,0.6098,82,112.878,108.2195,112.5535,107.895,4.6585,0.0836,4.7421,100.3693
2024-25,LAL,Los Angeles Lakers,50,32,0.6098,82,113.3902,112.1707,112.9974,111.8327,1.1647,0.1494,1.3141,100.348
2024-25,MEM,Memphis Grizzlies,48,34,0.5854,82,121.7073,116.8537,114.5543,109.9522,4.6021,-0.1654,4.4367,106.3063
2024-25,MIA,Miami Heat,37,45,0.4512,82,110.5976,110.0366,111.0665,110.5363,0.5301,-0.3652,0.1649,99.6505
2024-25,MIL,Milwaukee Bucks,48,34,0.5854,82,115.5122,113.0366,113.5064,111.0783,2.4281,-0.2639,2.1642,101.8149
2024-25,MIN,Minnesota Timberwolves,49,33,0.5976,82,114.2927,109.2927,113.7626,108.7012,5.0613,0.0493,5.1106,100.5837
2024-25,NOP,New Orleans Pelicans,21,61,0.2561,82,109.8293,119.2561,107.5071,116.8683,-9.3612,0.78,-8.5812,102.1459
2024-25,NYK,New York Knicks,51,31,0.622,82,115.7805,111.6829,115.353,111.3708,3.9822,-0.4229,3.5593,100.3205
2024-25,OKC,Oklahoma City Thunder,68,14,0.8293,82,120.5,107.6341,117.2261,104.8238,12.4023,-0.2625,12.1398,102.7693
2024-25,ORL,Orlando Magic,41,41,0.5,82,105.4268,105.5488,106.672,106.7434,-0.0714,-0.5091,-0.5805,98.888
2024-25,PHI,Philadelphia 76ers,24,58,0.2927,82,109.6098,115.8415,109.0031,115.2588,-6.2556,0.0463,-6.2094,100.5695
2024-25,PHX,Phoenix Suns,36,46,0.439,82,113.622,116.622,113.5232,116.4841,-2.9609,0.3691,-2.5918,100.1432
2024-25,POR,Portland Trail Blazers,36,46,0.439,82,110.8902,113.8659,108.7715,111.5035,-2.732,0.211,-2.521,102.1588
2024-25,SAC,Sacramento Kings,40,42,0.4878,82,115.7317,115.2561,113.9437,113.4598,0.4839,0.0123,0.4962,101.6246
2024-25,SAS,San Antonio Spurs,34,48,0.4146,82,113.9268,116.6829,111.6489,114.2998,-2.6509,0.2116,-2.4393,102.11
2024-25,TOR,Toronto Raptors,30,52,0.3659,82,110.8659,115.1585,107.613,111.8929,-4.28,-0.0074,-4.2874,103.0278
2024-25,UTA,Utah Jazz,17,65,0.2073,82,111.8902,121.2317,108.2569,117.3744,-9.1175,0.7634,-8.3542,103.3893
2024-25,WAS,Washington Wizards,18,64,0.2195,82,108.0,120.439,104.0832,116.1076,-12.0245,0.4152,-11.6092,103.7966
