"team","season","wins","loses","points_pg","opponent_points_pg","avg_fg_pct","avg_three_point_pct","avg_offensive_rebounds","avg_defensive_rebounds","avg_apg","avg_spg","avg_bpg","avg_to","off_rating_est","def_rating_est","net_rating"
"ATL","2022-23",41,41,118.4268,118.1341,0.4843,0.3534,11.2195,33.1585,24.9878,7.0732,4.8902,12.9268,113.9389,113.6577,0.2812
"BKN","2022-23",45,37,113.3537,112.5,0.4885,0.3801,8.2195,32.2927,25.5244,7.1341,6.1707,13.7439,112.4597,111.4828,0.9769
"BOS","2022-23",57,25,117.939,111.4146,0.4763,0.3754,9.7073,35.6220,26.6585,6.3537,5.2439,13.3537,115.6402,109.1127,6.5275
"CHA","2022-23",27,55,110.9512,117.1951,0.4583,0.3295,10.9878,33.5488,25.1463,7.7317,5.1829,14.1951,106.6681,112.753,-6.0848
"CHI","2022-23",40,42,113.122,111.8293,0.4915,0.3570,8.4634,33.8902,24.4634,7.8537,4.5244,13.3780,111.2904,109.9664,1.3241
"CLE","2022-23",51,31,112.2561,106.878,0.4895,0.3663,9.6951,31.3902,24.9390,7.1463,4.6829,13.3415,113.4593,108.0395,5.4198
"DAL","2022-23",38,44,114.2195,114.1463,0.4763,0.3713,7.6220,31.1707,22.9268,6.2683,3.7073,12.2195,114.2299,114.1769,0.0531
"DEN","2022-23",53,29,115.7927,112.4634,0.5054,0.3760,10.0976,32.9146,28.8780,7.5366,4.4878,14.5366,115.0079,111.7774,3.2305
"DET","2022-23",17,65,110.3049,118.5244,0.4548,0.3479,11.1707,31.2683,22.9756,7.0000,3.7561,15.0854,107.9082,115.9962,-8.088
"GSW","2022-23",44,38,118.939,117.1341,0.4798,0.3846,10.5366,34.0610,29.8293,7.1707,3.9390,16.2927,113.4038,111.6992,1.7046
"HOU","2022-23",22,60,110.7439,118.5976,0.4572,0.3231,13.4146,32.8659,22.3780,7.3171,4.5610,16.2439,108.4048,116.1563,-7.7515
"IND","2022-23",35,47,116.2805,119.4634,0.4699,0.3660,10.1463,31.4024,26.9878,7.6951,5.8293,14.9268,111.7227,114.7588,-3.0361
"LAC","2022-23",44,38,113.5854,113.0854,0.4791,0.3768,9.7927,33.4390,23.8902,7.0732,4.4390,14.2317,112.4978,111.9958,0.502
"LAL","2022-23",43,39,117.1707,116.5976,0.4831,0.3480,9.9756,35.7317,25.2683,6.4146,4.6098,14.0732,112.0846,111.5355,0.5491
"MEM","2022-23",51,31,116.9146,112.9756,0.4752,0.3498,12.0488,34.5732,26.0366,8.2927,5.7683,13.6098,112.2731,108.4758,3.7973
"MIA","2022-23",44,38,109.4756,109.7927,0.4605,0.3443,9.7073,30.8902,23.8415,7.9878,2.9634,13.4878,110.4392,110.8112,-0.372
"MIL","2022-23",58,24,116.939,113.3049,0.4741,0.3679,11.1463,37.4878,25.7927,6.3537,4.9146,14.6220,112.8734,109.4573,3.4161
"MIN","2022-23",42,40,115.7805,115.8171,0.4920,0.3635,9.1341,32.7561,26.1585,8.0122,5.4146,15.3415,111.2362,111.2304,0.0058
"NOP","2022-23",42,40,114.3659,112.4756,0.4814,0.3616,10.5610,33.1341,25.8780,8.3049,4.1098,14.5854,111.8361,109.9944,1.8417
"NYK","2022-23",47,35,116.0244,113.0976,0.4711,0.3538,12.5732,34.0244,22.9268,6.4268,4.1463,12.9878,114.8393,111.9011,2.9382
"OKC","2022-23",40,42,117.4756,116.3902,0.4666,0.3569,11.3902,32.2561,24.4146,8.2439,4.1585,13.0366,112.3587,111.3816,0.9771
"ORL","2022-23",34,48,111.4146,113.9756,0.4715,0.3481,10.1585,33.0854,23.2439,7.3537,4.6585,15.0732,109.0099,111.5257,-2.5158
